customer_id,region,subscription_plan,contract_type,tenure_months,monthly_logins,customer_satisfaction_score,industry,company_size,years_in_business,monthly_subscription_fee_gbp,discount_percentage,employee_count,active_users,feature_usage_score,avg_session_duration_minutes,projects_created,integrations_enabled,support_tickets_last_6m,avg_resolution_time_hours,payment_failures_last_12m,email_open_rate,webinar_attendance_count,monthly_recurring_revenue,lifetime_value,signup_date,last_login_date,customer_segment,acquisition_channel,churn
CF02757,South East,Starter,Annual,12,42.0,,Finance,Micro,6,79,33,3,0,43.0,164.0,172,19,3,54,5,,1,76.69,920.28,2020-04-29,2020-09-18,Mid-Market,Linkedin,No
CF03377,South East,Starter,Monthly,12,36.0,9.0,Retail,Large,8,29,37,713,184,91.0,33.0,172,16,3,9,0,48.0,5,28.89,346.68,2021-10-08,2022-07-05,Smb,Organic Search,No
CF09583,East Midlands,Starter,Annual,45,1857.0,9.0,Finance,Large,9,79,13,983,245,68.0,144.0,23,18,2,71,5,6.0,8,77.23,3475.35,2025-02-23,2025-06-20,Mid-Market,Organic Search,No
CF00444,North West,Starter,Monthly,10,41.0,8.0,Retail,Small,13,79,4,20,8,51.0,55.0,129,2,2,25,3,46.0,11,73.84,738.4,2023-08-22,2024-02-28,Smb,Partner,No
CF01625,Scotland,Starter,Monthly,5,53.0,2.0,Technology,Micro,16,199,17,8,3,11.0,178.0,43,12,2,53,0,77.0,7,162.97,814.85,2025-03-02,2025-05-07,Mid-Market,Referral,Yes
CF05421,London,Starter,Monthly,5,41.0,10.0,Healthcare,Micro,20,79,22,10,2,15.0,20.0,87,4,0,43,4,92.0,3,90.86,454.3,2020-08-29,2021-06-08,Smb,Google Ads,Yes
CF14650,North West,Professional,Monthly,36,46.0,1.0,Education,Small,21,29,26,19,7,68.0,12.0,14,6,3,40,3,79.0,9,34.28,1234.08,2022-06-07,2022-08-21,Smb,Organic Search,Yes
CF00920,South West,Starter,Annual,23,42.0,8.0,Technology,Small,15,29,3,48,16,98.0,157.0,136,6,1,58,0,81.0,3,24.93,573.39,2024-10-31,2025-02-16,Mid-Market,Organic Search,No
CF07219,South West,Starter,Monthly,25,40.0,3.0,Retail,Medium,10,79,28,111,58,90.0,138.0,142,0,1,6,0,72.0,6,89.34,2233.5,2021-08-21,2022-08-19,Smb,Partner,No
CF03025,London,Starter,Monthly,18,54.0,9.0,Education,Micro,22,79,32,3,2,8.0,179.0,106,6,3,16,2,7.0,4,79.15,1424.7,2021-06-14,2022-01-01,Smb,Organic Search,No
CF00800,Scotland,Professional,Monthly,7,43.0,10.0,Logistics,Micro,30,199,20,5,1,,61.0,62,2,3,36,0,38.0,9,210.66,1474.62,2022-08-16,2023-03-08,Smb,Partner,No
CF13749,Wales,Starter,Monthly,21,57.0,2.0,Finance,Medium,16,79,16,71,48,31.0,83.0,46,14,2,28,4,18.0,2,69.13,1451.73,2024-07-12,2025-06-20,Mid-Market,Referral,Yes
CF05363,South East,Starter,Monthly,15,46.0,1.0,Technology,Micro,10,79,29,2,0,80.0,134.0,54,16,0,5,3,67.0,6,68.84,1032.6,2024-04-27,2025-03-30,Smb,Organic Search,No
CF05593,East Midlands,Starter,Annual,1,43.0,4.0,Finance,Micro,14,79,35,2,1,30.0,163.0,103,13,1,1,0,81.0,2,74.13,74.13,2021-10-21,2022-05-18,Smb,Organic Search,No
CF08127,North East,Starter,Monthly,15,49.0,6.0,Logistics,Large,9,199,19,806,178,58.0,39.0,178,3,0,6,1,10.0,3,227.7,3415.5,2024-02-11,2025-01-30,Smb,Organic Search,No
CF07507,South East,Professional,Annual,23,,6.0,Logistics,Medium,20,79,7,148,60,79.0,21.0,93,18,0,71,5,55.0,3,89.32,2054.36,2024-06-22,2025-03-28,Mid-Market,Partner,No
CF08520,London,Starter,Monthly,3,35.0,7.0,Technology,Micro,27,79,12,9,3,21.0,170.0,96,1,1,24,5,75.0,5,72.84,218.52,2024-10-04,2025-06-20,Mid-Market,Linkedin,No
CF10626,West Midlands,Starter,Annual,26,43.0,6.0,Manufacturing,Small,20,79,7,19,13,46.0,113.0,88,6,0,11,5,11.0,0,84.77,2204.02,2020-07-08,2021-01-09,Smb,Linkedin,No
CF10711,South East,Starter,Monthly,6,44.0,5.0,Manufacturing,Micro,27,29,29,7,2,84.0,95.0,169,17,4,47,0,,9,32.66,195.96,2021-11-26,2022-01-12,Mid-Market,Partner,No
CF08225,Scotland,Starter,Monthly,7,51.0,9.0,Technology,Medium,20,199,23,219,164,,54.0,197,18,1,8,5,77.0,7,196.94,1378.58,2024-03-05,2025-02-25,Smb,Linkedin,No
CF02641,West Midlands,Professional,Annual,7,49.0,8.0,Manufacturing,Micro,10,29,20,3,2,51.0,136.0,104,9,7,9,2,41.0,4,30.01,210.07,2021-12-04,2022-09-24,Smb,Organic Search,No
CF07654,West Midlands,Starter,Monthly,13,48.0,5.0,Retail,Medium,17,79,38,181,121,89.0,37.0,2,12,1,68,2,8.0,5,64.63,840.19,2020-09-13,2020-10-30,Smb,Referral,No
CF02210,Scotland,Professional,Annual,8,36.0,8.0,Logistics,Small,1,29,13,21,16,74.0,70.0,70,8,3,33,1,66.0,1,29.34,234.72,2025-05-09,2025-06-20,Smb,Referral,No
CF03547,East Midlands,Enterprise,Monthly,35,49.0,10.0,Technology,Small,7,29,8,18,13,54.0,122.0,187,7,1,62,4,0.0,11,32.95,1153.25,2025-04-13,2025-06-20,Smb,Direct,Yes
CF09501,North West,Enterprise,Monthly,11,43.0,6.0,Manufacturing,Micro,1,29,38,8,2,98.0,64.0,42,2,1,7,3,22.0,8,23.46,258.06,2022-09-26,2023-09-10,Smb,Organic Search,No
CF06303,North East,Professional,Monthly,1,50.0,3.0,Manufacturing,Medium,20,79,39,215,163,69.0,7.0,158,7,3,12,0,42.0,5,83.83,83.83,2024-12-08,2025-06-20,Smb,Partner,Yes
CF14183,London,Starter,Monthly,31,43.0,4.0,Finance,Small,25,29,5,14,10,98.0,31.0,149,7,4,13,4,56.0,3,31.34,971.54,2021-01-18,2021-09-04,Mid-Market,Partner,Yes
CF13684,Wales,Starter,Monthly,51,45.0,4.0,Healthcare,Large,9,29,28,599,353,76.0,,100,15,3,34,0,,4,25.24,1287.24,2021-02-07,2021-10-24,Smb,Partner,No
CF09449,East Midlands,Professional,Monthly,2,,1.0,Manufacturing,Medium,9,79,28,118,60,96.0,168.0,173,12,4,15,4,63.0,5,68.76,137.52,2022-12-09,2023-01-19,Mid-Market,Direct,Yes
CF09340,South West,Professional,Annual,45,44.0,8.0,Logistics,Small,30,29,34,20,6,74.0,101.0,124,17,2,47,3,35.0,10,23.63,1063.35,2021-05-20,2021-06-17,Mid-Market,Direct,No
CF00312,North West,Starter,Monthly,35,52.0,1.0,Education,Medium,13,29,23,169,79,31.0,88.0,110,3,5,26,0,16.0,2,23.95,838.25,2020-04-23,2020-12-12,Mid-Market,Organic Search,No
CF01499,North East,Starter,Annual,4,38.0,2.0,Education,Micro,7,29,12,9,2,58.0,94.0,26,15,0,9,0,76.0,8,24.06,96.24,2023-10-28,2023-11-16,Smb,Referral,No
CF03749,Wales,Professional,Annual,9,48.0,6.0,Healthcare,Micro,18,29,33,4,2,4.0,112.0,184,17,1,23,2,72.0,6,26.75,240.75,2021-05-07,2021-12-24,Mid-Market,Google Ads,No
CF07588,South West,Starter,Monthly,22,,7.0,Healthcare,Small,4,79,0,49,26,24.0,177.0,104,9,1,28,2,84.0,5,84.21,1852.62,2024-03-11,2024-10-09,Mid-Market,Direct,No
CF03262,Wales,Professional,Monthly,5,40.0,6.0,Retail,Micro,6,29,39,2,0,27.0,130.0,122,1,1,48,3,85.0,9,31.11,155.55,2024-06-16,2024-09-08,Smb,Linkedin,No
CF00231,North East,Starter,Monthly,47,44.0,3.0,Finance,Medium,13,29,34,153,38,76.0,116.0,52,3,2,48,0,5.0,10,28.79,1353.13,2021-10-19,2022-09-21,Enterprise,Partner,No
CF14009,North West,Starter,Monthly,13,51.0,1.0,Logistics,Micro,6,199,40,1,0,6.0,169.0,91,2,0,62,1,67.0,1,184.02,2392.26,2022-04-22,2022-08-10,Smb,Direct,Yes
CF11077,Scotland,Professional,Monthly,21,54.0,5.0,Finance,Small,25,79,38,12,8,67.0,159.0,94,13,2,45,5,47.0,0,89.43,1878.03,2024-11-22,2025-06-20,Smb,Referral,No
CF08234,Wales,Starter,Annual,22,38.0,3.0,Healthcare,Medium,3,79,6,139,34,2.0,149.0,188,16,2,16,1,65.0,6,70.83,1558.26,2021-10-16,2022-08-13,Smb,Google Ads,No
CF03339,West Midlands,Starter,Monthly,2,51.0,,Education,Small,26,79,40,13,3,97.0,27.0,161,11,3,70,5,43.0,3,75.94,151.88,2024-04-28,2024-12-30,Smb,Google Ads,Yes
CF10986,South East,Enterprise,Annual,2,55.0,,Technology,Micro,12,79,11,7,3,77.0,139.0,108,17,2,54,3,82.0,1,67.82,135.64,2020-12-24,2021-09-19,Mid-Market,Referral,No
CF00243,Wales,Starter,Annual,8,50.0,9.0,Retail,Micro,25,199,36,9,4,70.0,154.0,29,11,3,51,5,98.0,7,232.27,1858.16,2020-03-18,2020-11-25,Mid-Market,Google Ads,No
CF08024,North West,Starter,Monthly,7,49.0,10.0,Manufacturing,Micro,8,79,1,3,2,63.0,160.0,60,15,4,10,4,,10,75.04,525.28,2023-09-20,2024-04-01,Smb,Direct,No
CF11631,London,Starter,Annual,4,42.0,6.0,Manufacturing,Small,21,29,11,42,20,56.0,71.0,170,2,2,18,5,23.0,8,30.19,120.76,2021-08-30,2022-04-11,Smb,Partner,No
CF04030,West Midlands,Starter,Annual,6,,2.0,Technology,Micro,22,29,6,3,1,100.0,130.0,198,9,2,48,5,19.0,5,31.1,186.6,2022-09-19,2022-11-14,Smb,Organic Search,No
CF09142,East Midlands,Starter,Annual,3,49.0,1.0,Manufacturing,Small,28,29,4,14,9,10.0,162.0,187,15,1,6,4,76.0,5,29.46,88.38,2020-04-03,2020-04-17,Mid-Market,Linkedin,Yes
CF13556,North East,Starter,Monthly,32,44.0,10.0,Technology,Small,15,79,34,49,38,35.0,8.0,26,2,1,30,5,28.0,11,84.36,2699.52,2025-02-18,2025-06-20,Smb,Linkedin,No
CF13138,West Midlands,Enterprise,Monthly,40,50.0,9.0,Education,Micro,21,79,18,4,2,,171.0,40,5,2,53,2,48.0,11,92.74,3709.6,2020-06-18,2020-09-22,Enterprise,Organic Search,No
CF05503,Wales,Enterprise,Annual,5,40.0,9.0,Healthcare,Medium,6,29,8,126,38,,103.0,48,17,2,31,5,21.0,2,29.93,149.65,2021-08-27,2021-11-27,Smb,Direct,No
CF03965,Scotland,Professional,Monthly,10,53.0,10.0,Retail,Micro,10,29,15,1,0,3.0,141.0,83,8,0,58,2,85.0,11,24.37,243.7,2024-03-24,2024-09-02,Smb,Referral,No
CF02562,West Midlands,Starter,Monthly,19,41.0,10.0,Healthcare,Micro,1,29,12,9,5,57.0,148.0,78,11,2,33,3,36.0,5,34.12,648.28,2025-04-09,2025-06-20,Smb,Direct,No
CF00479,Wales,Professional,Monthly,53,43.0,9.0,Healthcare,Small,12,29,31,15,11,27.0,37.0,0,11,2,25,3,71.0,0,24.83,1315.99,2022-08-30,2023-05-21,Smb,Google Ads,Yes
CF14581,North West,Starter,Monthly,4,48.0,1.0,Healthcare,Micro,20,29,32,9,5,79.0,42.0,160,15,2,51,3,78.0,0,32.62,130.48,2021-04-14,2021-12-09,Smb,Referral,Yes
CF09970,North West,Professional,Monthly,17,39.0,2.0,Education,Small,7,29,27,20,5,28.0,46.0,59,7,0,44,4,41.0,1,24.52,416.84,2020-07-30,2020-08-31,Mid-Market,Direct,Yes
CF04230,North West,Professional,Annual,4,41.0,3.0,Retail,Small,5,79,24,29,22,40.0,163.0,144,1,3,47,3,70.0,9,81.66,326.64,2021-03-27,2021-05-15,Smb,Partner,No
CF05324,North West,Professional,Annual,4,45.0,10.0,Finance,Micro,14,29,33,2,0,15.0,125.0,59,18,3,53,3,99.0,3,32.55,130.2,2024-08-26,2024-10-20,Mid-Market,Linkedin,Yes
CF10182,South West,Enterprise,Monthly,47,44.0,1.0,Logistics,Medium,1,29,22,195,70,24.0,108.0,0,19,6,27,3,95.0,2,26.21,1231.87,2023-03-17,2024-01-24,Mid-Market,Linkedin,Yes
CF07864,West Midlands,Professional,Annual,12,49.0,4.0,Logistics,Micro,26,29,28,10,4,96.0,104.0,112,16,2,27,3,38.0,7,27.63,331.56,2020-07-28,2021-03-02,Mid-Market,Direct,No
CF08008,North West,Enterprise,Monthly,2,52.0,1.0,Finance,Medium,25,29,18,204,150,59.0,6.0,165,14,2,20,4,17.0,4,28.63,57.26,2023-04-17,2024-03-14,Mid-Market,Linkedin,No
CF08641,West Midlands,Starter,Monthly,2,42.0,9.0,Logistics,Small,7,29,29,21,12,46.0,86.0,81,11,3,6,2,,11,25.23,50.46,2023-09-28,2024-01-14,Smb,Google Ads,No
CF06518,North West,Professional,Monthly,7,44.0,1.0,Technology,Medium,6,29,14,165,85,69.0,24.0,152,19,6,40,3,52.0,9,29.95,209.65,2022-09-02,2023-02-11,Smb,Google Ads,Yes
CF14776,East Midlands,Starter,Monthly,5,40.0,3.0,Technology,Large,24,79,11,260,57,93.0,34.0,89,1,1,61,5,99.0,5,94.46,472.3,2023-06-26,2024-02-01,Smb,Direct,No
CF04539,Wales,Starter,Monthly,24,51.0,5.0,Logistics,Small,23,29,24,43,15,62.0,57.0,8,15,2,36,5,15.0,0,32.33,775.92,2021-06-26,2021-07-08,Smb,Direct,No
CF09372,West Midlands,Professional,Monthly,74,52.0,8.0,Healthcare,Medium,3,29,35,223,124,5.0,51.0,111,10,1,32,2,64.0,7,28.35,2097.9,2024-06-22,2025-04-13,Mid-Market,Google Ads,No
CF13369,South East,Starter,Monthly,20,40.0,4.0,Finance,Micro,23,79,9,9,2,40.0,143.0,187,18,3,51,2,85.0,0,76.14,1522.8,2022-11-11,2023-02-06,Smb,Partner,No
CF11199,South West,Starter,Monthly,5,36.0,7.0,Technology,Medium,22,79,13,222,136,11.0,138.0,59,3,3,15,5,95.0,2,88.4,442.0,2023-01-04,2023-09-02,Mid-Market,Partner,Yes
CF10999,West Midlands,Professional,Monthly,14,45.0,8.0,Retail,Micro,8,29,28,10,6,2.0,49.0,183,1,1,68,2,30.0,11,29.85,417.9,2020-02-21,2020-06-17,Smb,Partner,No
CF00724,North East,Starter,Monthly,25,31.0,9.0,Technology,Micro,7,79,27,4,2,69.0,177.0,152,12,3,36,2,24.0,6,88.79,2219.75,2024-07-04,2025-02-10,Smb,Google Ads,No
CF00405,South West,Starter,Monthly,87,,6.0,Finance,Micro,1,29,4,10,5,50.0,55.0,95,3,1,69,5,34.0,1,32.05,2788.35,2024-06-16,2024-11-15,Smb,Linkedin,No
CF05980,North East,Enterprise,Monthly,75,41.0,1.0,Technology,Medium,2,79,20,75,15,79.0,97.0,196,7,0,10,0,43.0,11,89.08,6681.0,2024-12-04,2025-04-15,Smb,Organic Search,No
CF08636,Scotland,Enterprise,Annual,23,,10.0,Education,Medium,17,29,14,122,45,69.0,54.0,195,1,2,58,1,23.0,1,26.47,608.81,2020-04-01,2020-08-09,Mid-Market,Direct,No
CF10195,North East,Starter,Annual,43,40.0,8.0,Education,Small,27,29,35,32,12,43.0,142.0,38,0,4,63,2,73.0,2,23.36,1004.48,2021-10-22,2022-05-08,Smb,Referral,No
CF13117,North East,Starter,Monthly,3,45.0,6.0,Finance,Small,9,79,9,40,23,46.0,58.0,132,16,2,57,2,56.0,1,79.02,237.06,2023-09-11,2024-02-23,Smb,Linkedin,No
CF05083,South East,Professional,Annual,2,37.0,2.0,Retail,Micro,6,79,19,7,1,78.0,93.0,152,5,4,47,5,79.0,10,87.0,174.0,2020-12-23,2021-04-12,Mid-Market,Google Ads,Yes
CF03889,London,Professional,Monthly,37,69.0,6.0,Education,Micro,3,29,37,2,0,63.0,,86,11,2,30,4,56.0,6,32.34,1196.58,2023-07-06,2024-04-03,Smb,Linkedin,No
CF13006,North East,Starter,Monthly,4,43.0,8.0,Retail,Medium,17,79,16,212,115,87.0,134.0,132,19,2,34,1,30.0,5,75.37,301.48,2022-09-02,2023-08-22,Smb,Google Ads,No
CF03807,North East,Professional,Annual,8,39.0,10.0,Healthcare,Medium,4,29,13,122,82,60.0,31.0,177,4,2,2,1,63.0,9,32.82,262.56,2023-06-27,2024-04-11,Smb,Organic Search,No
CF00247,London,Enterprise,Monthly,2,51.0,1.0,Technology,Small,23,29,25,28,5,73.0,45.0,141,6,2,63,4,99.0,8,27.2,54.4,2021-09-19,2022-07-05,Smb,Partner,Yes
CF09073,West Midlands,Enterprise,Annual,2,40.0,3.0,Logistics,Small,14,29,23,28,10,34.0,150.0,8,7,3,61,4,,1,29.77,59.54,2021-01-12,2021-08-13,Mid-Market,Organic Search,Yes
CF12637,North West,Professional,Annual,4,,7.0,Healthcare,Small,17,79,36,30,10,88.0,25.0,51,17,1,55,2,33.0,6,76.97,307.88,2023-08-23,2024-04-03,Smb,Direct,No
CF03183,East Midlands,Professional,Annual,11,40.0,1.0,Education,Medium,19,79,25,181,81,15.0,138.0,137,1,1,40,1,91.0,1,81.04,891.44,2020-09-29,2021-06-29,Mid-Market,Organic Search,No
CF00711,Wales,Professional,Monthly,5,41.0,10.0,Retail,Medium,22,199,37,117,24,72.0,7.0,48,16,5,57,3,97.0,2,204.67,1023.35,2020-01-27,2020-07-07,Mid-Market,Partner,Yes
CF07515,South East,Enterprise,Annual,11,44.0,7.0,Healthcare,Micro,15,79,8,7,4,26.0,118.0,96,19,0,16,5,45.0,1,78.1,859.1,2022-10-20,2022-11-16,Smb,Organic Search,No
CF09252,North West,Enterprise,Monthly,20,41.0,6.0,Logistics,Medium,18,79,3,219,68,51.0,134.0,71,5,3,57,5,27.0,11,72.16,1443.2,2022-05-29,2023-01-05,Smb,Linkedin,No
CF00871,North East,Starter,Monthly,67,44.0,8.0,Finance,Micro,9,29,9,6,1,,149.0,78,9,6,15,3,50.0,1,23.59,1580.53,2023-10-12,2023-10-28,Smb,Google Ads,Yes
CF14970,London,Professional,Monthly,19,39.0,8.0,Healthcare,Medium,16,29,9,121,32,10.0,80.0,29,14,1,67,5,79.0,0,28.6,543.4,2020-08-19,2021-05-18,Smb,Google Ads,Yes
CF12103,East Midlands,Starter,Annual,24,54.0,1.0,Logistics,Micro,29,29,39,10,6,2.0,48.0,135,18,2,71,5,62.0,1,28.5,684.0,2021-10-20,2022-04-14,Smb,Google Ads,No
CF02277,North West,Professional,Monthly,5,43.0,6.0,Manufacturing,Small,8,29,7,25,19,87.0,97.0,72,13,2,40,1,79.0,10,31.76,158.8,2023-04-16,2024-01-16,Smb,Referral,No
CF09762,North East,Starter,Monthly,20,51.0,2.0,Healthcare,Micro,22,29,22,6,3,96.0,155.0,166,9,2,22,3,91.0,11,32.31,646.2,2020-12-28,2021-06-17,Smb,Referral,No
CF00612,North East,Professional,Monthly,12,32.0,8.0,Finance,Small,23,29,26,12,6,25.0,140.0,107,12,3,27,3,72.0,2,30.44,365.28,2020-11-16,2021-10-16,Mid-Market,Organic Search,Yes
CF02874,North East,Starter,Monthly,15,54.0,2.0,Manufacturing,Micro,20,79,26,5,1,80.0,52.0,171,11,1,53,0,86.0,5,91.59,1373.85,2022-12-29,2023-03-23,Mid-Market,Direct,No
CF10501,North West,Enterprise,Monthly,4,46.0,7.0,Education,Micro,4,199,1,8,2,32.0,169.0,88,4,1,55,5,32.0,10,171.14,684.56,2022-12-24,2023-11-09,Smb,Referral,Yes
CF10634,North East,Professional,Annual,20,54.0,6.0,Retail,Small,23,29,27,23,5,95.0,89.0,66,8,2,50,1,64.0,1,26.97,539.4,2024-09-03,2025-02-21,Mid-Market,Linkedin,No
CF08795,London,Starter,Monthly,81,47.0,8.0,Finance,Medium,7,29,15,60,16,70.0,125.0,172,16,2,27,1,78.0,9,26.64,2157.84,2023-08-16,2023-09-13,Smb,Google Ads,No
CF05848,South West,Professional,Annual,11,41.0,1.0,Manufacturing,Small,2,199,22,16,7,4.0,55.0,19,7,0,48,4,82.0,6,186.7,2053.7,2021-07-14,2021-12-23,Mid-Market,Partner,Yes
CF09571,West Midlands,Starter,Monthly,15,45.0,3.0,Healthcare,Small,4,79,7,21,10,19.0,99.0,140,8,2,35,2,,3,88.36,1325.4,2022-09-02,2023-07-28,Mid-Market,Organic Search,No
CF06433,Wales,Starter,Monthly,29,49.0,9.0,Manufacturing,Small,7,199,26,43,11,50.0,70.0,62,8,2,51,0,65.0,5,215.62,6252.98,2020-05-11,2020-09-29,Smb,Google Ads,No
CF01415,East Midlands,Starter,Annual,7,44.0,4.0,Technology,Medium,15,79,0,243,109,84.0,178.0,194,6,2,51,1,18.0,2,69.3,485.1,2020-06-30,2020-09-04,Smb,Google Ads,No
CF11681,East Midlands,Starter,Monthly,4,48.0,9.0,Retail,Small,4,29,39,38,29,25.0,62.0,29,14,1,58,2,20.0,0,32.19,128.76,2022-10-29,2023-04-16,Smb,Direct,No
CF01292,North East,Professional,Monthly,27,42.0,10.0,Retail,Micro,3,29,24,7,4,86.0,129.0,113,7,2,1,0,91.0,8,33.04,892.08,2024-02-02,2024-10-01,Smb,Referral,No
CF11766,North West,Enterprise,Monthly,7,51.0,,Education,Small,16,79,39,17,10,20.0,107.0,119,17,3,55,1,75.0,2,64.12,448.84,2023-10-17,2024-06-24,Smb,Organic Search,Yes
CF00430,Wales,Starter,Monthly,6,41.0,4.0,Manufacturing,Medium,10,199,23,94,45,22.0,5.0,181,9,4,66,1,92.0,9,226.96,1361.76,2024-08-08,2025-03-05,Smb,Linkedin,Yes
CF03247,London,Starter,Monthly,45,42.0,2.0,Finance,Medium,28,199,24,126,57,13.0,160.0,82,7,1,52,4,,10,190.54,8574.3,2023-11-06,2024-06-10,Smb,Referral,Yes
CF07764,Wales,Professional,Monthly,7,54.0,5.0,Healthcare,Small,29,199,40,32,18,37.0,,71,18,2,24,5,2.0,5,206.6,1446.2,2023-09-03,2024-02-28,Smb,Organic Search,No
CF06421,North West,Professional,Monthly,73,44.0,4.0,Healthcare,Micro,30,79,1,1,0,57.0,165.0,120,6,2,56,4,56.0,9,66.2,4832.6,2023-10-14,2023-10-21,Smb,Linkedin,No
CF08811,Wales,Professional,Monthly,6,42.0,10.0,Retail,Small,13,29,5,36,16,17.0,101.0,16,8,6,67,5,6.0,3,30.36,182.16,2021-10-12,2021-10-13,Mid-Market,Partner,Yes
CF10642,North East,Starter,Annual,5,1606.0,8.0,Healthcare,Small,12,29,27,46,24,100.0,61.0,132,18,3,64,1,47.0,5,32.94,164.7,2022-05-29,2023-05-19,Smb,Organic Search,No
CF02002,West Midlands,Starter,Annual,5,42.0,4.0,Education,Small,16,29,14,15,11,59.0,170.0,161,8,1,32,0,26.0,3,31.65,158.25,2021-09-15,2022-02-16,Mid-Market,Organic Search,No
CF04513,North East,Professional,Monthly,4,66.0,1.0,Finance,Micro,24,79,7,2,0,16.0,142.0,31,16,2,17,0,55.0,7,72.77,291.08,2023-09-15,2024-06-17,Smb,Organic Search,Yes
CF10402,London,Starter,Monthly,19,35.0,7.0,Finance,Micro,9,79,28,4,2,42.0,103.0,68,13,2,37,5,72.0,11,72.43,1376.17,2022-04-07,2022-05-26,Smb,Referral,No
CF14071,West Midlands,Professional,Monthly,18,41.0,4.0,Retail,Micro,9,79,12,3,1,39.0,153.0,5,10,2,66,5,79.0,1,76.03,1368.54,2024-06-09,2025-04-30,Smb,Referral,Yes
CF02970,South East,Starter,Monthly,27,51.0,9.0,Retail,Micro,6,199,20,1,0,58.0,104.0,130,1,2,60,3,33.0,11,167.09,4511.43,2022-11-20,2023-10-31,Smb,Direct,No
CF02410,Scotland,Starter,Monthly,22,44.0,5.0,Healthcare,Micro,6,29,12,10,4,85.0,170.0,155,8,2,44,0,20.0,0,28.65,630.3,2023-06-09,2024-02-13,Mid-Market,Direct,No
CF11684,East Midlands,Starter,Monthly,16,39.0,6.0,Technology,Micro,1,29,26,5,3,22.0,83.0,190,12,0,43,0,89.0,0,28.89,462.24,2023-10-02,2024-08-02,Mid-Market,Linkedin,No
CF00379,East Midlands,Starter,Monthly,5,55.0,9.0,Retail,Small,8,199,33,32,7,43.0,166.0,134,16,2,67,3,76.0,7,213.16,1065.8,2024-03-31,2024-10-17,Mid-Market,Linkedin,Yes
CF07895,South West,Professional,Monthly,4,43.0,7.0,Retail,Micro,23,29,0,4,1,32.0,127.0,26,16,0,15,0,65.0,7,33.4,133.6,2020-05-23,2021-04-09,Mid-Market,Direct,No
CF04632,West Midlands,Professional,Monthly,4,55.0,1.0,Education,Medium,10,29,13,81,56,25.0,28.0,128,5,3,19,3,90.0,11,23.51,94.04,2024-02-14,2024-03-26,Smb,Referral,Yes
CF06166,East Midlands,Starter,Annual,30,44.0,1.0,Finance,Medium,26,79,0,63,25,24.0,48.0,11,18,2,21,2,,3,79.0,2370.0,2023-09-14,2024-01-20,Smb,Linkedin,No
CF02318,South East,Enterprise,Monthly,22,38.0,6.0,Education,Micro,1,79,6,5,2,2.0,113.0,53,3,3,52,3,65.0,3,86.7,1907.4,2023-12-05,2023-12-19,Mid-Market,Referral,Yes
